#Frequency	Mic 1	Mic 2
10.000	0.654	0.192
11.000	0.127	0.032
12.000	0.120	0.030
13.000	0.146	0.031
14.000	0.155	0.033
15.000	0.175	0.036
16.000	0.654	0.192
17.000	0.127	0.032
18.000	0.120	0.030
19.000	0.146	0.031
20.000	0.654	0.192
21.000	0.127	0.032
22.000	0.120	0.030
23.000	0.146	0.031
24.000	0.155	0.033
25.000	0.175	0.036
26.000	0.127	0.032
27.000	0.120	0.030
28.000	0.146	0.031
29.000	0.155	0.033
30.000	0.654	0.192
31.000	0.127	0.032
32.000	0.120	0.030
33.000	0.146	0.031
34.000	0.155	0.033
35.000	0.175	0.036
36.000	0.127	0.032
37.000	0.120	0.030
38.000	0.146	0.031
39.000	0.155	0.033
40.000	0.654	0.192
41.000	0.127	0.032
42.000	0.120	0.030
43.000	0.146	0.031
44.000	0.155	0.033
45.000	0.175	0.036


	
